Gen ind   P      D     Cost
21   25    11756    5865   -4.528711
22   1    11756    5881   -4.528656
22   2    15726    5883   -4.536035
22   3    11596    5849   -4.532873
22   4    11500    4827   -4.571738
22   5    11580    5841   -4.533302
22   6    11372    4808   -4.572314
22   7    11628    5881   -4.532028
22   8    11620    5337   -4.540748
22   9    11372    4808   -4.572314
22   10    11644    7872   -4.661845
22   11    11622    5337   -4.540729
22   12    11756    5865   -4.528711
22   13    11756    5737   -4.529664
22   14    11756    5881   -4.528656
22   15    11500    4826   -4.571818
22   16    11308    4827   -4.570540
22   17    11630    5833   -4.531977
22   18    11756    5737   -4.529664
22   19    11756    5865   -4.528711
22   20    11628    4681   -4.586230
22   21    11372    4808   -4.572314
22   22    11620    5337   -4.540748
22   23    11756    5865   -4.528711
22   24    11372    5849   -4.539458
22   25    11756    5867   -4.528703
23   1    11756    5881   -4.528656
23   2    11500    5849   -4.535568
23   3    11756    5881   -4.528656
23   4    11724    5867   -4.529502
23   5    11756    5881   -4.528656
23   6    11756    5737   -4.529664
23   7    11628    5881   -4.532028
23   8    11580    5841   -4.533302
23   9    11372    4808   -4.572314
23   10    11752    5865   -4.528809
23   11    11756    5867   -4.528703
23   12    11628    5337   -4.540673
23   13    11756    5865   -4.528711
23   14    11500    4826   -4.571818
23   15    11748    5737   -4.529826
23   16    11372    5849   -4.539458
23   17    11580    5841   -4.533302
23   18    11756    5865   -4.528711
23   19    11756    5865   -4.528711
23   20    11756    5881   -4.528656
23   21    11756    5881   -4.528656
23   22    11372    4808   -4.572314
23   23    15726    5883   -4.536035
23   24    11500    4826   -4.571818
23   25    11620    5337   -4.540748
24   1    11756    5881   -4.528656
24   2    11621    5337   -4.540738
24   3    11756    5737   -4.529664
24   4    11756    4841   -4.572984
24   5    11724    5739   -4.530301
24   6    11756    5867   -4.528703
24   7    11372    5848   -4.539449
24   8    11596    5867   -4.532893
24   9    11372    5849   -4.539458
24   10    11756    5867   -4.528703
24   11    11492    4826   -4.571756
24   12    11756    5867   -4.528703
24   13    11725    5867   -4.529477
24   14    11500    6105   -4.538356
24   15    10604    5881   -4.571741
24   16    15470    5883   -4.530840
24   17    11372    4840   -4.569905
24   18    11756    5865   -4.528711
24   19    11756    5865   -4.528711
24   20    11372    5849   -4.539458
24   21    11748    5737   -4.529826
24   22    11756    5881   -4.528656
24   23    11628    5881   -4.532028
24   24    11372    5849   -4.539458
24   25    11756    5881   -4.528656
25   1    11756    5881   -4.528656
25   2    11372    5849   -4.539458
25   3    11756    5867   -4.528703
25   4    11628    5867   -4.532016
25   5    11372    5881   -4.539757
25   6    11756    5865   -4.528711
25   7    11756    5867   -4.528703
25   8    11500    6105   -4.538356
25   9    11756    5864   -4.528715
25   10    11500    6105   -4.538356
25   11    11756    5865   -4.528711
25   12    11756    5881   -4.528656
25   13    11500    6105   -4.538356
25   14    11756    5867   -4.528703
25   15    11756    5737   -4.529664
25   16    11756    5881   -4.528656
25   17    11372    5849   -4.539458
25   18    15470    5883   -4.530840
25   19    11756    5865   -4.528711
25   20    11756    5865   -4.528711
25   21    10348    5848   -4.584161
25   22    11372    5849   -4.539458
25   23    11372    5849   -4.539458
25   24    10604    5881   -4.571741
25   25    11756    5881   -4.528656
26   1    11756    5881   -4.528656
26   2    11500    6105   -4.538356
